Well_id,lat_dec,long_dec,DWT,Clay,Recharge,Slope,SOM,SHG,Texture,Dist_MSW,Ndep,WellDepth,ORP,Mn,Fe,DO,Ca,Nload,MCL,Train,NO3Av,NO3Max
235602,36.434444,-102.634444,53.95,22.5,1.45315,2.600749969,2,8,5,22.40651366,6.666480064,130,110.2129974,34.3325005,42.7708015,7.6374798,18.9155998,3.1,0,Testing,4.18,4.18
239702,36.400555,-102.242499,300,22.5,1.80628,4.107309818,2,8,5,11.29396651,7.898449898,428,105.3170013,38.344799,41.6641998,7.6075201,31.6100006,7.5,0,Testing,4.84,4.84
644701,35.266388,-101.59611,249.9222222,33.5,3.5124199,0.822431028,2,4,3,9.53353791,10.12720013,325,51.7018013,28.6569996,203.3820038,6.7111902,144.1829987,3.1,0,Testing,6.11,6.11
751401,35.166943,-102.745555,242.535,33.5,2.34934,1.074169993,2,4,3,29.52852692,9.421509743,270,-0.0414478,31.5137005,76.8820038,7.0187001,37.3876991,3.1,0,Testing,7.66,7.66
758601,35.047499,-102.763888,314.995,33.5,2.4363101,1.017099977,2,4,3,22.66051094,8.656419754,368,-36.42350006,31.0704994,85.5731964,7.0429502,39.1082993,10,0,Testing,8.495,11.9
762823,35.006388,-102.313888,232.4625,33.5,2.75055,2.082509995,2,4,3,11.90502676,12.23340034,320,-47.27220154,23.5184994,14.1664,6.7712202,46.7039986,10,0,Testing,4.45,4.45
1032201,34.612777,-102.068332,185.7322222,33.5,3.1942899,1.074169993,2,4,3,13.69337491,11.82719994,244,39.2458992,63.3806992,131.6560059,8.0921202,46.0488014,10,0,Testing,7.91,7.91
1158103,34.110833,-101.853055,238.7088889,33.5,2.87428,0.564182997,2,4,3,11.5161402,7.800879955,336,109.8030014,28.7495995,293.6820068,6.74405,53.3359985,7.5,0,Testing,9.185,9.96
2728301,32.587221,-102.536388,60.77777778,6.5,1.66241,1.338080049,1.25,10,9,12.75240521,4.388840199,100,72.3423996,31.4521999,403.7279968,7.0701499,49.8572998,3.1,0,Testing,9.465,16.42
2737106,32.474999,-102.461388,114.71,19.5,1.31652,1.163089991,1.350000024,8,5,8.903257484,4.037759781,166,81.43540192,32.7625999,429.6839905,7.5928798,88.6266022,2,0,Testing,8.45,8.5
2751401,32.187221,-102.746666,92.98222222,6.5,1.04487,1.595749974,1.25,10,9,17.06627051,3.870359898,129,82.4992981,37.4373016,418.8599854,6.4326801,198.9669952,3.1,0,Testing,9.24,9.24
251707,36.140833,-102.717777,280,21,1.57296,1.277220011,2,8,5,7.466566226,8.073719978,480,123.0879974,34.044899,48.6908989,7.3972001,42.2734985,10,1,Testing,10.45,10.45
744501,35.331666,-102.570554,133.765,28.5,2.34306,1.608170033,2,8,3,22.67726223,7.245069981,165,-26.1996994,29.0251007,51.7742996,7.0066299,38.2775993,3.1,1,Testing,17.97,17.97
1004603,34.925277,-102.52361,281.86125,33.5,2.89275,0.719195008,2,4,3,10.5206796,11.00909996,318,-176.9980011,15.0087996,66.7677994,7.0311298,38.9692001,7.5,1,Testing,18.11,18.11
1013806,34.779166,-102.445833,229.1366667,33.5,3.03864,0.630775988,2,4,3,5.957011409,12.97369957,400,82.08119965,27.8108006,28.5818996,7.1484599,51.097599,7.5,1,Testing,15.12,15.12
1141602,34.296944,-101.883054,246.0877778,33.5,2.8292401,0.797874987,2,4,3,10.41105332,8.936610222,288,132.7140045,36.1529007,358.0700073,7.3924999,46.7896004,10,1,Testing,27,27
2407606,33.928054,-102.158055,154,14,2.63468,4.656640053,0.75,8,6,5.717902768,6.721039772,240,125.7470016,25.1944008,143.9429932,6.28195,104.8450012,3.1,1,Testing,29.35,29.35
2409901,33.765,-102.896944,140.10125,15,2.1923699,0.892050982,0.75,6,6,9.18790736,5.511320114,193,148.4100037,23.7133007,73.1559982,5.9656501,106.9349976,10,1,Testing,54.1,54.1
2440504,33.441388,-102.042499,138.1955556,14,2.9458599,0.598406017,0.75,8,6,10.33359972,5.360330105,192,78.06549835,24.1692009,253.7859955,5.55686,63.3819008,7.5,1,Testing,10.62,10.62
2443801,33.275277,-102.674721,71.93142857,7.5,2.1675401,2.661250114,0.550000012,8,8,14.19861912,5.043990135,140,70.86039734,22.3946991,76.5205002,5.9696398,40.3042984,2,1,Testing,20.9,20.9
2548803,33.261388,-103.0575,24.63,7.5,1.81604,2.820909977,0.550000012,8,8,16.85527064,4.769629955,60,110.4300003,10.0251999,10.5848999,6.0325599,86.8466034,2,1,Testing,32.8,32.8
2715302,32.83361,-102.133888,69.0825,7.5,2.27637,0.630775988,0.550000012,8,8,14.56183204,4.753890038,175,-45.66249847,14.8719997,247.1999969,5.1790199,167.4199982,10,1,Testing,42.11,42.11
2719127,32.724999,-102.741944,118.63,7.5,1.96322,2.554450035,0.550000012,8,8,6.172666757,4.680659771,198,73.34829712,27.5093994,105.689003,6.5203099,95.0198975,7.5,1,Testing,21.52,21.52
2720110,32.724721,-102.589721,51.53,7.5,1.97883,2.792560101,0.550000012,8,8,3.404289905,4.208549976,170,59.08200073,27.4727001,360.0660095,6.64571,99.0164032,7.5,1,Testing,21.3,21.3
2724101,32.709722,-102.102222,26,7.5,2.2544999,2.499340057,0.550000012,8,8,9.457822635,4.677199841,100,3.972419977,20.0897999,245.6759949,7.0011802,160.6119995,10,1,Testing,58.21,58.21
2834701,32.387221,-101.84361,30.672,14,1.95052,0.630775988,0.75,8,6,16.81526079,4.243840218,48,80.35639954,122.223999,41.8372002,5.2244701,120.310997,7.5,1,Testing,35.2,35.2
